Date,Open,High,Low,Close,Adj Close,Volume
1/12/06,121.494003,124.061996,119.194,123.016998,63.581005,7638248
1/13/06,123.621002,125.844002,123.027,123.352997,63.754665,14447306
1/16/06,124.463997,125.077003,122.260002,122.825996,63.482288,6369886
1/17/06,123.792999,124.530998,119.022003,120.612,62.33799,5391148
1/18/06,120.152,120.344002,116.569,118.274002,61.129604,8405693
1/19/06,119.788002,123.792999,119.279999,122.845001,63.492111,5914864
1/20/06,123.792999,127.386002,122.738998,126.649002,65.458199,5451655
1/23/06,126.015999,126.015999,122.874001,123.563004,63.863201,7686533
1/24/06,124.177002,127.529999,123.889,127.155998,65.720238,8152492
1/25/06,128.009003,131.074997,127.625999,129.514008,66.938965,10681321
1/27/06,130.270004,133.546997,130.270004,132.378006,68.41922,6766701
1/30/06,133.182999,134.869995,131.171005,131.871002,68.157173,8082884
1/31/06,131.649994,136.363998,131.649994,135.761002,70.167709,9321893
2/1/06,135.673996,138.404999,133.757996,135.464005,70.014206,12239924
2/2/06,135.865997,137.380005,133.854004,135.445007,70.004387,9475679
2/3/06,133.757996,140.656998,133.757996,137.658005,71.14817,20919921
2/6/06,137.380005,141.328003,136.479004,140.589996,72.663559,10430218
2/7/06,141.136002,147.651001,140.350006,146.529999,75.733635,18896257
2/8/06,147.326004,147.556,143.531006,144.001007,74.426544,12564465
2/10/06,145.600998,146.865997,143.789993,144.518005,74.693733,9814330
2/13/06,145.255997,152.921005,143.723007,151.666,78.388161,13300470
2/14/06,151.580002,152.136002,146.117996,146.923004,75.93676,10586488
2/15/06,148.322006,149.606003,146.597,147.613007,76.293396,10966881
2/16/06,147.556,155.220993,147,153.399994,79.284386,20014925
2/17/06,152.729996,155.604004,147.660995,148.197998,76.595741,19942697
2/20/06,148.322006,150.612,147.182007,149.884003,77.467148,14437094
2/21/06,150.612,153.304001,150.449005,152.097,78.610931,8907544
2/22/06,152.154999,152.710007,151.253998,151.647003,78.378342,5407367
2/23/06,152.345993,152.882996,149.807007,150.477997,77.774147,12091227
2/24/06,150.429993,152.039993,148.561996,150.210007,77.635651,8351699
2/27/06,150.449005,152.307999,150.065994,150.707993,77.893021,6301186
2/28/06,152.307999,157.597,149.490997,156.408997,80.839569,18711401
3/1/06,156.371002,163.968994,155.229996,162.139008,83.801102,19397080
3/2/06,163.078003,169.766006,163.078003,165.569,85.573906,20075959
3/3/06,165.951996,174.384003,165.569,173.416,89.629593,21409984
3/6/06,174.384003,180.487,174.384003,177.679993,91.83342,15476171
3/7/06,178.216003,178.408005,173.914001,174.651993,90.268417,12892915
3/8/06,175.533997,176.013,167.800995,168.529999,87.104286,23180880
3/9/06,168.634995,170.072006,161.602005,167.925995,86.792091,27199878
3/10/06,169.593002,172.468002,168.654007,171.701004,88.74321,14757137
3/13/06,173.425995,173.425995,169.496994,170.302002,88.020126,10915464
3/14/06,169.804001,173.589005,168.634995,171.240997,88.50544,13908833
3/16/06,172.276001,176.654999,172.084,176.117996,91.026115,21760340
3/17/06,176.682999,180.871002,176.328995,179.729996,92.892944,20538093
3/20/06,180.132996,181.473999,178.906006,180.391006,93.234604,8581996
3/21/06,180.899002,181.072006,172.975006,173.751007,89.802734,10922327
3/22/06,173.042007,176.856003,171.710999,175.753998,90.83799,15686002
3/23/06,176.856003,177.621994,172.697006,173.550003,89.698845,9413872
3/24/06,173.569,175.304001,172.246994,174.220993,90.045662,8117326
3/27/06,175.149994,175.705994,172.084,172.792999,89.307602,7847317
3/28/06,172.850998,175.130997,172.496002,173.501999,89.674034,7109981
3/29/06,173.990997,174.556,171.893005,173.214996,89.525703,5086583
3/30/06,173.425995,176.567993,172.218002,174.556,90.218811,8797379
3/31/06,174.766998,179.557999,173.828003,178.570999,92.293945,7886924
4/3/06,179.557999,186.848999,179.557999,186.322006,96.300018,12825144
4/4/06,186.264999,186.647995,182.048996,184.453995,95.334549,7460854
4/5/06,185.690002,186.639008,183.054993,184.847,95.537674,5212028
4/7/06,186.072998,186.647995,174.384003,177.757004,91.873238,13095007
4/10/06,178.158997,182.776993,175.925995,182.307999,94.225403,6198379
4/12/06,182.048996,182.048996,172.084,173.089996,89.461098,7459795
4/13/06,173.233994,176.184998,168.634995,173.837997,89.847702,11937191
4/17/06,173.425995,179.175003,173.425995,178.149002,92.075844,11253751
4/18/06,179.175003,181.283005,177.460007,178.675995,92.348213,7075598
4/19/06,178.811005,181.091003,175.533997,177.009003,91.486626,4205059
4/20/06,177.373001,183.524994,174.671005,182.470993,94.309647,12078890
4/21/06,183.582001,188.544998,180.516006,187.587006,96.953842,13962337
4/24/06,188.544998,188.737,182.268997,183.869995,95.03273,6044791
4/25/06,178.628006,183.964996,174.460007,175.792007,90.857613,7452829
4/26/06,175.744003,184.923996,174.479996,183.744995,94.968094,6509368
4/27/06,184.348999,186.072998,177.067001,179.921997,92.992203,7244428
4/28/06,177.832993,179.154999,148.514008,177.727997,91.858238,8017717
5/2/06,183.007004,186.072998,182.289001,183.477005,94.82959,6438700
5/3/06,184.156998,186.839996,180.171005,184.013,95.106636,7300123
5/4/06,185.882004,188.718002,184.923996,185.929993,96.097412,10217893
5/5/06,187.011993,188.315002,184.367996,185.585007,95.919121,7999678
5/8/06,186.264999,187.990005,183.985001,184.654999,95.438438,4615385
5/9/06,185.307007,191.209,181.876999,188.996002,97.682083,15610435
5/10/06,189.455994,190.481003,186.072998,186.964005,96.631836,7827320
5/11/06,187.031006,187.223007,181.091003,183.380997,94.779976,4502585
5/12/06,181.091003,187.587006,179.175003,184.569,95.393997,10706396
5/15/06,184.539993,187.798004,172.688004,175.839996,90.882423,12570993
5/16/06,177.257996,179.365997,166.813995,178.330994,92.169884,13818623
5/17/06,179.365997,186.264999,179.365997,184.386993,95.299911,9701989
5/18/06,183.936996,183.936996,165.951996,168.261002,86.965256,16017703
5/19/06,175.725006,175.725006,153.878998,161.889999,83.672417,21237245
5/22/06,163.078003,175.917007,131.841995,145.983994,75.451439,20757316
5/23/06,149.472,153.304001,141.826004,149.279999,77.154976,13763460
5/24/06,151.197006,154.645996,146.089996,149.960999,77.506935,15309439
5/25/06,146.089996,158.632004,140.369003,154.742004,79.977989,14678183
5/26/06,157.904007,160.203003,154.070999,155.938995,80.596649,7748361
5/29/06,156.371002,159.897003,155.220993,157.837006,81.577637,7915897
5/30/06,158.057007,158.449997,147.556,151.119995,78.105965,6400611
5/31/06,146.703003,151.770996,141.106995,151.014008,78.051186,11711032
6/1/06,151.770996,154.453995,140.082001,142.285995,73.540138,12366172
6/2/06,144.681,152.317993,142.764999,151.358994,78.229492,11566102
6/5/06,152.537994,155.757004,146.981003,150.582993,77.828407,14877478
6/6/06,139.889999,152.729996,139.009003,146.962006,75.956909,10646024
6/7/06,146.251999,148.705002,139.238998,142.822006,73.817169,8389761
6/8/06,139.889999,141.787003,136.085999,137.973999,71.311493,11806382
6/9/06,137.369995,147.345001,137.369995,145.093002,74.990936,9230447
6/12/06,146.022995,146.022995,137.274994,139.488007,72.094017,7494409
6/13/06,137.274994,138.779007,131.285995,133.059006,68.771202,13549491
6/14/06,138.779007,143.664993,124.608002,126.561996,65.413223,14114202
6/15/06,131.266998,137.781998,128.057007,133.212006,68.850266,14374213
6/16/06,135.673996,144.681,135.673996,138.856003,71.767349,12645747
6/19/06,140.848007,147.938995,139.123993,147.182007,76.070625,13312394
6/20/06,145.639008,149.223007,142.190002,145.294006,75.094803,11445124
6/21/06,145.753998,147.401993,144.488998,146.061005,75.491234,8716442
6/22/06,147.556,152.998001,147.556,149.529007,77.283676,9839212
6/23/06,147.556,150.046997,145.304001,148.934998,84.306198,10720010
6/26/06,143.990997,149.089005,138.578003,139.996002,79.246193,7748027
6/27/06,139.985992,145.352005,138.184998,142.822006,80.845879,15257725
6/28/06,141.807007,143.147995,138.356995,142.093994,80.433769,9454278
6/29/06,143.147995,147.556,143.147995,146.626007,82.999176,9294904
6/30/06,148.005997,157.289993,147.565002,152.317993,86.221191,16865021
7/3/06,153.688004,154.358002,149.567993,150.975998,85.46154,9288673
7/4/06,152.345993,155.335999,152.345993,152.882996,86.541008,10922541
7/5/06,152.345993,154.263,150.621994,153.572998,86.931602,12125443
7/6/06,152.921005,154.703003,150.813004,152.988007,86.600464,9536530
7/7/06,154.263,155.087006,146.425003,147.709,83.612221,8123979
7/10/06,148.897003,151.714005,145.496002,150.813004,85.36927,7033110
7/11/06,151.167999,151.167999,144.173004,144.968994,82.061211,10211631
7/12/06,144.173004,148.110992,141.518997,147.574997,83.536362,11884036
7/13/06,147.574997,148.130005,144.882004,147.556,83.525612,8479089
7/14/06,145.591003,145.591003,140.848007,141.701004,80.211327,9400868
7/17/06,141.768005,141.768005,132.417007,133.25,75.427551,8444173
7/18/06,134.151001,136.057999,130.884003,132.024002,74.733559,12155225
7/19/06,133.949997,134.141006,125.584999,126.322998,71.506439,11664745
7/20/06,128.421005,134.046005,128.421005,131.957001,74.695633,14831410
7/21/06,131.229004,137.973999,127.444,128.862,72.943672,5684097
7/24/06,127.444,131.841995,124.961998,131.171005,74.250717,7660233
7/25/06,133.375,135.626999,132.272995,134.477005,76.122101,14374328
7/26/06,135.100006,140.445999,135.100006,139.660004,79.055992,16190697
7/27/06,139.507004,142.487,138.261002,141.567001,80.135468,12589127
7/28/06,141.807007,143.531006,137.591003,139.621994,79.034485,10020200
7/31/06,141.231995,143.531006,140.848007,142.199005,80.493225,4574760
8/1/06,140.848007,141.807007,137.973999,140.197006,79.35997,4938507
8/2/06,141.470993,145.735001,140.475006,145.322998,82.261597,6727506
8/3/06,148.514008,151.197006,145.639008,147.354004,83.41127,12359253
8/4/06,148.130005,149.261002,144.403,145.427994,82.32103,4744660
8/7/06,146.539993,146.923004,143.177002,143.626999,81.301559,6890241
8/8/06,143.723007,147.556,143.723007,147.009003,83.215973,3557172
